Id,Nascimento,MP,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,Pos.
1,1990,29,8,7,8,0,1,7,1,AT
2,1993,28,12,5,10,2,2,3,0,AT
3,1996,28,8,8,8,0,0,3,0,AT
4,1991,28,6,3,5,1,1,9,2,AT
5,1990,28,8,2,5,3,3,4,0,AT
6,1992,27,20,10,15,5,6,1,0,AT
7,1996,27,8,2,7,1,1,6,0,AT
8,1996,26,13,1,13,0,0,2,0,AT
9,1992,26,12,1,12,0,0,3,0,AT
10,1992,26,5,3,4,1,1,4,0,AT
11,2001,25,6,0,6,0,0,1,0,AT
12,1996,25,11,2,6,5,5,6,0,AT
13,1991,25,1,3,1,0,0,1,0,AT
14,1985,24,12,3,10,2,2,5,0,AT
15,1994,23,10,1,8,2,3,1,0,AT
16,1996,23,7,3,7,0,0,0,0,AT
17,1998,23,6,3,5,1,1,2,0,AT
18,1992,23,5,5,4,1,1,2,0,AT
19,1989,23,1,2,1,0,0,3,0,AT
20,1991,22,10,4,6,4,4,0,0,AT
21,1990,22,4,1,4,0,0,3,0,AT
22,2000,21,7,3,7,0,0,1,0,AT
23,1997,20,2,7,2,0,0,0,0,AT
24,1996,20,1,0,1,0,0,0,0,AT
25,1993,19,5,0,5,0,0,0,0,AT
26,1995,19,2,2,2,0,0,2,0,AT
27,1996,19,2,5,2,0,0,1,0,AT
28,1987,18,10,2,10,0,0,2,0,AT
29,1991,16,5,3,5,0,0,3,0,AT
30,1992,16,1,1,1,0,0,0,0,AT
31,1998,15,4,3,4,0,0,1,0,AT
32,1989,15,0,0,0,0,0,3,0,AT
33,1989,14,4,1,4,0,2,3,0,AT
34,1997,14,3,1,3,0,0,1,0,AT
35,1989,14,1,0,1,0,0,2,0,AT
36,1992,13,2,0,2,0,0,1,0,AT
37,1987,12,2,1,2,0,0,0,0,AT
38,2002,12,2,0,2,0,0,0,0,AT
39,2001,28,9,5,9,0,0,4,0,"AT,LT"
40,1996,28,6,2,6,0,0,4,0,"AT,LT"
41,1997,27,9,5,9,0,0,9,1,"AT,LT"
42,1996,27,5,1,5,0,0,3,0,"AT,LT"
43,1994,27,4,1,3,1,1,2,0,"AT,LT"
44,1999,27,3,4,2,1,1,4,0,"AT,LT"
45,1992,26,13,5,13,0,0,1,0,"AT,LT"
46,1995,26,6,6,6,0,0,0,0,"AT,LT"
47,1997,26,5,3,5,0,0,4,0,"AT,LT"
48,1997,26,4,3,4,0,0,6,0,"AT,LT"
49,1996,26,2,4,2,0,0,1,0,"AT,LT"
50,1992,26,2,4,2,0,0,3,0,"AT,LT"
51,2000,25,2,1,2,0,0,1,0,"AT,LT"
52,2000,24,3,3,3,0,0,0,0,"AT,LT"
53,1994,24,2,3,2,0,0,3,0,"AT,LT"
54,1995,24,2,3,2,0,0,2,0,"AT,LT"
55,1991,23,4,7,2,2,3,0,0,"AT,LT"
56,1996,23,1,2,1,0,0,0,0,"AT,LT"
57,1999,22,5,2,5,0,0,2,0,"AT,LT"
58,1996,22,5,1,5,0,0,1,0,"AT,LT"
59,1997,22,3,6,3,0,0,2,0,"AT,LT"
60,2001,22,2,5,2,0,0,3,0,"AT,LT"
61,1999,22,1,1,1,0,0,0,0,"AT,LT"
62,1999,20,6,2,6,0,0,2,0,"AT,LT"
63,1997,20,4,3,4,0,0,6,0,"AT,LT"
64,1997,20,2,2,2,0,0,1,0,"AT,LT"
65,2001,20,2,1,2,0,0,1,0,"AT,LT"
66,2001,19,5,3,5,0,0,3,1,"AT,LT"
67,1997,19,4,0,4,0,0,2,0,"AT,LT"
68,1997,19,4,2,4,0,0,2,0,"AT,LT"
69,2001,18,5,1,5,0,0,1,0,"AT,LT"
70,1997,18,2,1,2,0,0,1,0,"AT,LT"
71,1996,17,6,0,6,0,0,2,0,"AT,LT"
72,2001,17,1,1,1,0,0,0,0,"AT,LT"
73,2002,17,0,0,0,0,0,0,0,"AT,LT"
74,1998,16,5,1,5,0,1,2,0,"AT,LT"
75,1997,16,1,0,1,0,0,0,0,"AT,LT"
76,2000,15,1,2,1,0,0,1,0,"AT,LT"
77,1995,15,1,1,1,0,0,0,0,"AT,LT"
78,1997,14,1,2,1,0,0,2,0,"AT,LT"
79,2002,13,2,1,2,0,0,4,0,"AT,LT"
80,2000,30,0,0,0,0,0,2,0,G
81,1993,30,0,1,0,0,0,3,0,G
82,1985,29,0,0,0,0,0,0,0,G
83,1990,29,0,0,0,0,0,0,0,G
84,1986,29,0,0,0,0,0,1,0,G
85,1993,28,0,0,0,0,0,3,0,G
86,1992,28,0,0,0,0,0,4,0,G
87,1997,28,0,0,0,0,0,2,1,G
88,1992,27,0,1,0,0,0,0,0,G
89,1986,27,0,0,0,0,0,1,0,G
90,1994,25,0,0,0,0,0,1,0,G
91,1992,25,0,0,0,0,0,0,0,G
92,1987,24,0,0,0,0,0,2,0,G
93,1992,24,0,0,0,0,0,3,0,G
94,1998,24,0,0,0,0,0,1,0,G
95,1988,22,0,0,0,0,0,1,0,G
96,1983,18,0,1,0,0,0,0,0,G
97,1989,17,0,0,0,0,0,1,0,G
98,1995,16,0,0,0,0,0,0,0,G
99,1989,15,0,0,0,0,0,1,0,G
100,1998,12,0,0,0,0,0,0,0,G
101,1988,12,0,0,0,0,0,1,0,G
102,1994,29,2,2,2,0,0,7,0,LT
103,1997,28,4,2,4,0,0,9,0,LT
104,1995,28,4,1,4,0,0,2,0,LT
105,1999,28,1,4,1,0,0,7,0,LT
106,1994,27,9,6,9,0,1,7,0,LT
107,2001,27,6,1,6,0,0,5,0,LT
108,1995,27,2,2,2,0,0,2,0,LT
109,1986,27,2,1,2,0,0,2,0,LT
110,1989,27,2,1,2,0,0,4,0,LT
111,1992,27,1,0,1,0,0,2,0,LT
112,1991,27,1,1,1,0,0,8,0,LT
